timestamp,temperatura,humedad,luz,ruido
2025-01-01 00:00:00,7.08,87.5,0,30
2025-01-01 00:10:00,6.98,85.8,0,49
2025-01-01 00:20:00,7.71,83.7,0,42
2025-01-01 00:30:00,6.72,88.3,0,34
2025-01-01 00:40:00,7.62,86.3,0,38
2025-01-01 00:50:00,8.37,91.6,0,32
2025-01-01 01:00:00,7.66,83.9,0,44
2025-01-01 01:10:00,7.09,88.1,0,38
2025-01-01 01:20:00,6.52,87.9,0,35
2025-01-01 01:30:00,7.07,90.3,0,43
2025-01-01 01:40:00,7.74,87.4,0,54
2025-01-01 01:50:00,6.06,90.5,0,49
2025-01-01 02:00:00,8.55,88.6,0,43
2025-01-01 02:10:00,8.05,90.8,0,44
2025-01-01 02:20:00,7.77,89.7,0,46
2025-01-01 02:30:00,7.36,86.6,0,49
2025-01-01 02:40:00,7.51,94.0,0,37
2025-01-01 02:50:00,8.36,85.3,0,55
2025-01-01 03:00:00,1.74,92.2,0,36
2025-01-01 03:10:00,8.44,90.5,0,46
2025-01-01 03:20:00,9.21,88.8,0,52
2025-01-01 03:30:00,9.25,86.1,0,45
2025-01-01 03:40:00,7.84,83.7,0,32
2025-01-01 03:50:00,9.3,87.3,0,47
2025-01-01 04:00:00,12.08,85.6,0,48
2025-01-01 04:10:00,10.46,84.4,0,48
2025-01-01 04:20:00,8.72,87.0,0,39
2025-01-01 04:30:00,10.22,88.5,0,43
2025-01-01 04:40:00,8.62,81.5,0,43
2025-01-01 04:50:00,12.62,82.2,0,54
2025-01-01 05:00:00,13.32,77.8,0,37
2025-01-01 05:10:00,11.0,84.4,0,42
2025-01-01 05:20:00,9.73,89.2,0,51
2025-01-01 05:30:00,10.83,77.7,0,36
2025-01-01 05:40:00,11.39,79.9,0,40
2025-01-01 05:50:00,10.12,77.5,0,49
2025-01-01 06:00:00,13.03,78.7,681,34
2025-01-01 06:10:00,12.93,72.6,658,46
2025-01-01 06:20:00,13.18,85.5,464,48
2025-01-01 06:30:00,13.27,83.9,671,33
2025-01-01 06:40:00,12.31,81.9,415,39
2025-01-01 06:50:00,12.4,84.8,611,51
2025-01-01 07:00:00,14.67,82.5,549,71
2025-01-01 07:10:00,14.13,78.8,650,61
2025-01-01 07:20:00,15.36,73.7,739,81
2025-01-01 07:30:00,14.66,76.1,460,67
2025-01-01 07:40:00,16.13,78.8,658,88
2025-01-01 07:50:00,15.29,76.0,615,69
2025-01-01 08:00:00,16.97,84.1,496,79
2025-01-01 08:10:00,16.19,77.8,656,90
2025-01-01 08:20:00,16.21,77.6,456,62
2025-01-01 08:30:00,17.47,81.0,527,84
2025-01-01 08:40:00,15.78,78.3,643,84
2025-01-01 08:50:00,16.52,76.1,318,68
2025-01-01 09:00:00,17.11,81.6,666,73
2025-01-01 09:10:00,17.11,77.3,739,90
2025-01-01 09:20:00,16.39,73.5,543,63
2025-01-01 09:30:00,16.73,76.2,676,80
2025-01-01 09:40:00,16.58,73.4,467,66
2025-01-01 09:50:00,17.8,72.2,549,70
2025-01-01 10:00:00,19.11,77.4,361,50
2025-01-01 10:10:00,18.2,72.2,509,55
2025-01-01 10:20:00,18.46,71.2,602,39
2025-01-01 10:30:00,18.16,75.0,575,32
2025-01-01 10:40:00,17.63,78.4,257,49
2025-01-01 10:50:00,18.97,65.8,715,39
2025-01-01 11:00:00,19.4,70.5,494,46
2025-01-01 11:10:00,17.36,64.5,408,58
2025-01-01 11:20:00,18.65,59.9,363,51
2025-01-01 11:30:00,18.17,73.6,743,44
2025-01-01 11:40:00,18.57,68.2,708,60
2025-01-01 11:50:00,18.34,76.5,752,57
2025-01-01 12:00:00,19.05,68.4,727,35
2025-01-01 12:10:00,18.82,75.5,545,34
2025-01-01 12:20:00,18.8,74.3,529,47
2025-01-01 12:30:00,19.97,69.4,432,34
2025-01-01 12:40:00,19.53,71.2,611,52
2025-01-01 12:50:00,18.52,73.9,417,34
2025-01-01 13:00:00,18.43,75.6,596,58
2025-01-01 13:10:00,19.27,78.9,739,60
2025-01-01 13:20:00,19.27,74.3,521,34
2025-01-01 13:30:00,18.4,73.3,727,56
2025-01-01 13:40:00,18.69,73.5,408,33
2025-01-01 13:50:00,20.36,72.4,520,46
2025-01-01 14:00:00,17.81,72.4,684,38
2025-01-01 14:10:00,19.81,70.5,410,41
2025-01-01 14:20:00,19.16,75.8,593,45
2025-01-01 14:30:00,19.66,70.9,401,44
2025-01-01 14:40:00,17.78,74.9,418,52
2025-01-01 14:50:00,18.14,74.1,499,60
2025-01-01 15:00:00,16.97,78.1,616,31
2025-01-01 15:10:00,18.23,76.5,374,50
2025-01-01 15:20:00,16.87,72.4,528,38
2025-01-01 15:30:00,17.91,71.1,664,31
2025-01-01 15:40:00,17.87,79.7,559,39
2025-01-01 15:50:00,17.29,73.8,437,39
2025-01-01 16:00:00,17.12,82.8,262,37
2025-01-01 16:10:00,16.17,66.7,515,41
2025-01-01 16:20:00,16.75,77.9,326,40
2025-01-01 16:30:00,15.69,80.6,540,53
2025-01-01 16:40:00,15.5,77.5,518,57
2025-01-01 16:50:00,16.67,78.0,418,35
2025-01-01 17:00:00,14.98,81.4,328,79
2025-01-01 17:10:00,14.83,82.4,409,63
2025-01-01 17:20:00,14.36,81.5,497,61
2025-01-01 17:30:00,15.88,84.0,379,81
2025-01-01 17:40:00,13.74,77.2,615,67
2025-01-01 17:50:00,13.7,85.8,525,61
2025-01-01 18:00:00,13.84,77.0,594,74
2025-01-01 18:10:00,13.77,85.0,292,69
2025-01-01 18:20:00,13.37,82.8,464,67
2025-01-01 18:30:00,12.85,90.1,618,79
2025-01-01 18:40:00,13.48,82.4,549,83
2025-01-01 18:50:00,14.46,83.9,628,89
2025-01-01 19:00:00,13.54,76.6,0,72
2025-01-01 19:10:00,10.2,86.7,0,60
2025-01-01 19:20:00,11.19,84.4,0,88
2025-01-01 19:30:00,11.14,86.2,0,60
2025-01-01 19:40:00,12.83,79.4,0,85
2025-01-01 19:50:00,9.54,81.2,0,75
2025-01-01 20:00:00,10.49,85.9,0,53
2025-01-01 20:10:00,9.88,84.9,0,58
2025-01-01 20:20:00,11.39,86.3,0,30
2025-01-01 20:30:00,11.28,85.8,0,48
2025-01-01 20:40:00,10.38,83.2,0,38
2025-01-01 20:50:00,8.82,84.2,0,39
2025-01-01 21:00:00,8.38,83.8,0,46
2025-01-01 21:10:00,14.47,97.9,0,44
2025-01-01 21:20:00,7.78,88.2,0,50
2025-01-01 21:30:00,9.76,93.9,0,58
2025-01-01 21:40:00,7.68,82.7,0,39
2025-01-01 21:50:00,10.41,86.5,0,54
2025-01-01 22:00:00,9.46,86.3,0,50
2025-01-01 22:10:00,7.58,89.7,0,30
2025-01-01 22:20:00,8.15,88.9,0,43
2025-01-01 22:30:00,7.83,83.6,0,52
2025-01-01 22:40:00,8.61,90.0,0,43
2025-01-01 22:50:00,8.91,89.2,0,46
2025-01-01 23:00:00,7.49,90.1,0,43
2025-01-01 23:10:00,0.66,93.5,0,33
2025-01-01 23:20:00,6.79,92.7,0,31
2025-01-01 23:30:00,7.64,95.4,0,50
2025-01-01 23:40:00,7.42,90.3,0,45
2025-01-01 23:50:00,6.56,92.6,0,48
2025-01-02 00:00:00,7.54,83.8,0,30
2025-01-02 00:10:00,7.24,85.3,0,41
2025-01-02 00:20:00,7.06,86.9,0,60
2025-01-02 00:30:00,6.63,82.6,0,39
2025-01-02 00:40:00,7.6,84.8,0,57
2025-01-02 00:50:00,6.92,79.4,0,55
2025-01-02 01:00:00,7.38,89.2,0,39
2025-01-02 01:10:00,8.61,89.3,0,41
2025-01-02 01:20:00,8.26,79.4,0,57
2025-01-02 01:30:00,6.97,88.9,0,51
2025-01-02 01:40:00,8.03,88.1,0,58
2025-01-02 01:50:00,7.86,85.5,0,54
2025-01-02 02:00:00,9.71,84.8,0,32
2025-01-02 02:10:00,9.46,85.8,0,42
2025-01-02 02:20:00,7.12,78.2,0,50
2025-01-02 02:30:00,9.04,92.7,0,53
2025-01-02 02:40:00,9.36,74.8,0,57
2025-01-02 02:50:00,8.8,77.6,0,44
2025-01-02 03:00:00,9.04,86.4,0,55
2025-01-02 03:10:00,11.24,85.9,0,31
2025-01-02 03:20:00,9.83,89.0,0,53
2025-01-02 03:30:00,10.89,82.6,0,52
2025-01-02 03:40:00,10.39,78.5,0,32
2025-01-02 03:50:00,9.68,82.5,0,43
2025-01-02 04:00:00,10.08,83.9,0,44
2025-01-02 04:10:00,10.53,77.8,0,30
2025-01-02 04:20:00,10.37,76.3,0,51
2025-01-02 04:30:00,9.58,80.7,0,50
2025-01-02 04:40:00,11.07,77.6,0,32
2025-01-02 04:50:00,11.8,79.8,0,55
2025-01-02 05:00:00,11.76,76.1,0,37
2025-01-02 05:10:00,13.73,80.9,0,51
2025-01-02 05:20:00,10.75,76.8,0,50
2025-01-02 05:30:00,12.84,76.5,0,41
2025-01-02 05:40:00,13.33,81.4,0,59
2025-01-02 05:50:00,11.83,74.2,0,42
2025-01-02 06:00:00,13.4,72.9,536,51
2025-01-02 06:10:00,14.38,77.9,762,58
2025-01-02 06:20:00,13.95,73.0,415,45
2025-01-02 06:30:00,11.95,81.7,737,38
2025-01-02 06:40:00,12.87,72.3,725,40
2025-01-02 06:50:00,13.54,76.1,779,38
2025-01-02 07:00:00,14.01,71.0,643,83
2025-01-02 07:10:00,14.72,80.3,489,67
2025-01-02 07:20:00,14.03,70.2,384,60
2025-01-02 07:30:00,14.8,82.1,599,64
2025-01-02 07:40:00,14.83,74.8,831,69
2025-01-02 07:50:00,15.38,73.7,615,65
2025-01-02 08:00:00,16.47,64.2,879,71
2025-01-02 08:10:00,16.95,79.2,427,73
2025-01-02 08:20:00,16.85,74.6,635,68
2025-01-02 08:30:00,17.37,67.7,625,84
2025-01-02 08:40:00,17.25,70.5,652,80
2025-01-02 08:50:00,17.16,65.9,392,75
2025-01-02 09:00:00,20.27,67.8,774,62
2025-01-02 09:10:00,18.07,70.4,574,84
2025-01-02 09:20:00,19.87,77.4,450,71
2025-01-02 09:30:00,18.12,80.8,704,81
2025-01-02 09:40:00,17.72,73.0,822,82
2025-01-02 09:50:00,17.49,64.7,846,73
2025-01-02 10:00:00,19.95,78.9,849,45
2025-01-02 10:10:00,20.06,62.5,761,59
2025-01-02 10:20:00,19.22,73.0,625,53
2025-01-02 10:30:00,19.65,69.9,715,48
2025-01-02 10:40:00,17.72,74.5,699,50
2025-01-02 10:50:00,23.51,66.6,431,32
2025-01-02 11:00:00,20.34,72.9,545,37
2025-01-02 11:10:00,19.24,74.6,480,47
2025-01-02 11:20:00,19.94,70.4,875,46
2025-01-02 11:30:00,18.77,68.9,753,49
2025-01-02 11:40:00,20.67,72.9,427,33
2025-01-02 11:50:00,18.11,74.2,456,39
2025-01-02 12:00:00,24.44,66.7,764,56
2025-01-02 12:10:00,20.7,66.0,778,41
2025-01-02 12:20:00,17.46,66.0,501,59
2025-01-02 12:30:00,19.85,59.5,871,30
2025-01-02 12:40:00,19.46,72.3,426,32
2025-01-02 12:50:00,18.96,68.5,807,38
2025-01-02 13:00:00,19.18,67.7,788,36
2025-01-02 13:10:00,18.67,67.0,389,55
2025-01-02 13:20:00,20.58,70.6,433,56
2025-01-02 13:30:00,25.79,66.2,475,41
2025-01-02 13:40:00,18.8,72.4,775,55
2025-01-02 13:50:00,19.56,67.3,533,43
2025-01-02 14:00:00,17.68,65.0,824,35
2025-01-02 14:10:00,19.6,72.0,390,45
2025-01-02 14:20:00,19.58,66.1,863,44
2025-01-02 14:30:00,18.51,69.3,569,32
2025-01-02 14:40:00,18.76,73.3,873,39
2025-01-02 14:50:00,18.67,69.8,509,52
2025-01-02 15:00:00,16.5,71.3,638,40
2025-01-02 15:10:00,19.03,69.1,649,54
2025-01-02 15:20:00,17.18,71.6,598,59
2025-01-02 15:30:00,17.18,68.4,425,53
2025-01-02 15:40:00,17.67,73.0,712,57
2025-01-02 15:50:00,18.59,69.5,530,57
2025-01-02 16:00:00,16.08,71.8,419,60
2025-01-02 16:10:00,14.99,68.5,832,55
2025-01-02 16:20:00,15.84,74.6,581,34
2025-01-02 16:30:00,16.89,70.4,599,54
2025-01-02 16:40:00,18.3,68.2,778,53
2025-01-02 16:50:00,15.54,70.5,711,38
2025-01-02 17:00:00,14.06,77.7,837,83
2025-01-02 17:10:00,13.89,76.8,604,82
2025-01-02 17:20:00,13.79,65.5,460,71
2025-01-02 17:30:00,16.07,71.7,435,78
2025-01-02 17:40:00,16.3,80.2,419,76
2025-01-02 17:50:00,15.24,79.5,809,66
2025-01-02 18:00:00,13.17,71.5,808,76
2025-01-02 18:10:00,14.98,80.1,708,85
2025-01-02 18:20:00,13.69,70.8,609,84
2025-01-02 18:30:00,14.42,73.2,568,71
2025-01-02 18:40:00,13.13,72.3,798,64
2025-01-02 18:50:00,13.58,79.5,536,84
2025-01-02 19:00:00,11.01,78.7,0,63
2025-01-02 19:10:00,12.5,80.6,0,88
2025-01-02 19:20:00,12.15,70.8,0,66
2025-01-02 19:30:00,11.28,82.1,0,68
2025-01-02 19:40:00,11.29,85.1,0,90
2025-01-02 19:50:00,13.29,79.6,0,65
2025-01-02 20:00:00,12.13,88.5,0,43
2025-01-02 20:10:00,10.38,84.0,0,54
2025-01-02 20:20:00,10.6,87.8,0,58
2025-01-02 20:30:00,10.87,79.6,0,41
2025-01-02 20:40:00,10.67,81.8,0,57
2025-01-02 20:50:00,9.21,77.8,0,56
2025-01-02 21:00:00,9.65,76.4,0,34
2025-01-02 21:10:00,7.64,78.9,0,35
2025-01-02 21:20:00,8.72,83.3,0,51
2025-01-02 21:30:00,9.71,77.2,0,41
2025-01-02 21:40:00,9.79,82.6,0,44
2025-01-02 21:50:00,8.66,73.5,0,35
2025-01-02 22:00:00,7.99,82.1,0,42
2025-01-02 22:10:00,7.88,84.5,0,46
2025-01-02 22:20:00,8.27,80.6,0,54
2025-01-02 22:30:00,8.33,82.2,0,37
2025-01-02 22:40:00,13.89,83.4,0,41
